smiles,sdc,sdx,sa,dga,dgp,dgtot
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,6.9114,1.1972,3.4065,-5.028,-67.7113,-72.7393
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3c(F)cccc3C2=O)CN1,16.8081,0.608,7.5495,-10.882,-153.8596,-135.4269
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,12.3703,0.8264,4.2529,-11.8154,-91.3155,-96.6373
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc([C@@H](O)c4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,16.1364,1.2573,7.3999,3.1099,-147.7768,-118.6864
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1,15.8569,0.4881,6.191,-12.3251,-123.5884,-108.5969
CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,8.0766,0.5041,2.6504,-3.2865,-55.9339,-59.2204
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,15.5614,0.4823,6.509,2.0597,-128.1088,-99.6563
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC,13.0619,2.2157,6.7079,0.7301,-139.1053,-134.1108
CC(C)O[P@@]1(=O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@@]3(CCO3)[C@@H]2O1,12.0807,1.0943,6.4258,0.384,-136.0886,-70.2015
CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,8.6963,0.0,2.7673,-16.5186,-60.5758,-60.4094
CC1=C(C)C(=O)N(C[C@H]2CN[C@H](C)CN2CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)C1,15.5944,0.475,6.2382,-4.9262,-123.5104,-101.9798
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1,16.43,0.5423,7.1338,-11.6246,-142.7132,-124.1267
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,13.5111,1.4207,5.7528,-6.2528,-126.6494,-118.8729
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(F)ccc3C2=O)CN1,16.5645,0.6033,7.4253,-10.8873,-151.1658,-132.6847
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2C[C@@H](C)OCC2=O)CN1,16.0818,0.608,6.8968,-2.1764,-137.8981,-104.0569
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccc(C#N)cc3C2=O)CN1,17.0891,0.6471,7.7375,-16.6319,-152.863,-140.4866
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3ccc(F)cc3C2=O)CN1,16.5242,0.5758,7.3889,-10.8901,-150.3381,-131.8131
COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,12.7317,0.557,4.5617,-12.9874,-91.6052,-96.983
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,15.0509,0.5113,6.423,0.9191,-126.1454,-99.6087
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4)cc32)[C@@H](CN2Cc3ccccc3C2=O)CN1,16.3137,0.5551,6.7082,-12.367,-132.1159,-113.1763
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nnc(Cc4ccc(F)cc4F)cc32)[C@@H](CN2Cc3cc(C#N)ccc3C2=O)CN1,16.9542,0.5581,7.6875,-16.64,-151.2165,-139.4245
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3[nH]c(=O)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,15.7092,1.2229,7.1832,1.717,-143.0859,-119.5238
Cc1ncsc1-c1ccc([C@H](CC(=O)NCCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,27.4055,3.1939,13.7446,-4.037,-281.2754,-254.9847
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1,13.1753,1.4177,5.7209,-7.3559,-125.8906,-119.4889
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,9.4156,1.1411,3.5259,-10.2487,-69.1547,-79.4034
O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,11.3423,0.8277,4.5433,-8.5432,-94.4009,-96.1526
CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,13.228,1.4987,4.7495,-6.9425,-107.2721,-101.4875
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,12.801,2.3017,6.2965,-9.0346,-133.94,-132.0421
O=C1CCC(N2C(=O)c3cccc(NCCOCCOCCNC(=O)c4ccc5c(c4)nc(Nc4cccc(Cl)c4)c4ccncc45)c3C2=O)C(=O)N1,18.7531,3.2914,10.3206,-24.7917,-207.7146,-217.6356
COc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,16.2518,2.0862,8.1481,-10.0888,-164.6674,-156.54
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,13.5111,1.4207,5.7528,-6.2528,-126.6494,-118.8729
O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,20.8904,2.9803,11.5603,-11.8209,-238.9837,-218.0565
COc1cc(F)cc([C@H](NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)C(C)O)c1,16.5567,2.3445,8.5434,-9.3378,-175.1054,-165.9802
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnn5C)ncc4Cl)cc3C2=O)c1,15.0776,2.3313,8.4246,-16.0972,-168.0586,-165.1879
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,13.6379,1.5189,5.5568,3.7396,-126.0532,-105.3988
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1,14.6735,1.4304,6.3864,-12.7877,-135.6952,-134.1837
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(C(N)=O)CC1)c1ccc(Cl)cc1,12.801,2.3017,6.2965,-9.0346,-133.94,-132.0421
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4ccnc(NC5CCOCC5)n4)cc3C2=O)c1,16.0634,2.3388,8.1945,-10.8822,-166.8854,-163.3769
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5ccnc(OC)c5)ncc4Cl)cc3C2=O)c1,16.0922,2.2878,8.7876,-16.5533,-177.5622,-171.9031
Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)CCCCCCNC(=O)COc2c(-c3csc(N4CCOCC4)n3)ccc(F)c2F)C(C)(C)C)cc1,25.0309,2.4665,11.7623,-3.0776,-239.3068,-215.1068
CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,13.0869,1.7331,5.0157,3.9545,-113.2607,-91.43
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,16.2793,1.2571,7.349,2.9852,-146.4493,-117.3234
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,10.6427,1.6541,5.5315,-12.8246,-107.8259,-107.542
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5COC5)ncc4Cl)cc3C2=O)c1,15.0988,2.3755,8.2163,-11.5738,-168.2234,-163.3629
CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1,10.1103,0.0,2.8128,-1.3559,-59.3368,-52.7054
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3nc(CO)c(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,16.4111,1.2531,7.3179,4.1106,-145.9189,-116.0924
CCOc1nc(N)nc2c1ncn2[C@@H]1O[C@@H]2CO[P@](=O)(OC(C)C)O[C@H]2[C@@]1(C)F,13.2986,1.6097,7.9254,0.5323,-158.3569,-69.209
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,9.3001,2.1458,4.5878,-4.0735,-91.3471,-95.4206
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,14.1759,1.4974,5.7619,3.7415,-130.8605,-106.664
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,16.5458,0.6302,6.1171,7.5326,-142.3705,-120.6996
Cc1cccc([C@@H](CO)NC(=O)CN2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,14.7929,2.2426,7.2894,-10.9009,-146.5864,-138.0771
Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCOCCOCCNc1cccc3c1C(=O)N(C1CCC(=O)NC1=O)C3=O)c1nnc(C)n1-2,20.4131,2.698,10.5787,-18.6009,-212.351,-198.3142
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,16.7215,0.4795,7.1894,2.7093,-143.2678,-107.094
Cc1cccc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,14.6844,2.1699,7.2933,-9.7804,-146.6502,-139.0652
O=C(COc1c(-c2csc(N3CCOCC3)n2)ccc(F)c1F)NCCCCCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,19.0411,2.5034,10.2543,-13.8884,-210.1173,-194.7518
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3ccc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cc2)CC1,12.9622,1.4147,4.718,-6.9455,-106.5992,-101.5039
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(N[C@@H](C)CO)ncc4Cl)cc3C2=O)c1,14.9449,2.9568,8.5103,-7.1402,-173.956,-164.9053
C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(F)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,15.259,2.2229,8.143,-9.287,-168.0776,-161.0729
C[C@@H]1CN(CC(=O)N2CC(C)(C)c3cc(=O)n(Cc4ccc(F)cc4)cc32)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,16.0445,0.4669,6.9783,1.7007,-139.4358,-106.927
COc1cc(F)cc([C@@H](CO)NC(=O)CN2C(=O)c3cc(-c4nc(NC5CCOCC5)ncc4Cl)ccc3[C@H]2C)c1,16.2294,2.3546,8.5099,-9.3412,-174.1439,-164.8752
COc1cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)ccn1,16.471,2.2593,8.7987,-10.1279,-175.1939,-160.3668
CN(c1nc2ccccc2s1)C1CCN(CC(O)COc2ccc(F)cc2)CC1,11.3681,0.8382,4.7785,-5.7622,-98.458,-96.015
CC(C)(O)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cn1)[C@@]2(OCC1(O)CC1)c1ccc(Cl)cc1,13.1753,1.4177,5.7209,-7.3559,-125.8906,-119.4889
C[C@H](C(=O)N[C@H](CO)c1cc(F)cc(OCCN(C)C)c1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,17.8756,2.5236,9.4151,-4.9273,-190.4811,-172.3087
[2H]C([2H])(O)C1(C([2H])([2H])O[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(C#N)cn2)CC1,14.4941,1.4695,6.3268,-12.7977,-134.5359,-132.9404
O=C(CN1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O)N1CCc2ccccc2CC1,15.3407,0.7166,6.4063,-15.3707,-127.832,-114.0147
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,16.2852,2.55,8.5436,-9.3426,-175.3083,-165.7276
C[C@H](C(=O)N[C@H](CO)c1cccc(N2CCN(C)CC2)n1)N1Cc2ccc(-c3nc(NC4CCOCC4)ncc3Cl)cc2C1=O,18.2969,2.1801,9.6231,-9.0299,-186.5336,-168.7743
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ccc(-c4nc(Nc5cnn(C)n5)ncc4Cl)cc3C2=O)c1,15.2023,2.5023,8.9056,-16.1243,-176.2208,-167.6349
COc1cc(F)cc([C@@H](CO)NC(=O)[C@@H](C)N2Cc3ncc(-c4nc(NC5CCOCC5)ncc4Cl)cc3C2=O)c1,16.4928,2.415,9.0261,-9.3868,-182.3853,-173.2864
